dt,nu,nudot,nuddot
0.0,1.505143040598846,-5.1380792001e-14,5.23e-27
129729.72972972973,1.5051430339191159,-5.1380791322244834e-14,5.242612784699755e-27
129729.72972972973,1.5051430272838824,-5.138079064195955e-14,5.251504694729271e-27
129729.72972972976,1.5051430206017837,-5.1380789960595547e-14,5.2387845097017205e-27
129729.7297297297,1.5051430139560293,-5.1380789280774694e-14,5.232108891722434e-27
129729.7297297297,1.5051430072664707,-5.138078860176369e-14,5.248459888639191e-27
129729.72972972982,1.5051430006143067,-5.138078792076907e-14,5.249024897341122e-27
129729.7297297297,1.505142993943268,-5.138078723970591e-14,5.257372967580814e-27
129729.7297297297,1.5051429872678113,-5.138078655763e-14,5.254944635737184e-27
129729.7297297297,1.505142980610091,-5.138078587584869e-14,5.243095587233213e-27
129729.7297297297,1.5051429739565207,-5.138078519550484e-14,5.2479950581521254e-27
129729.7297297297,1.505142967274873,-5.138078451456661e-14,5.24843668383485e-27
129729.72972972994,1.5051429606115745,-5.138078383357481e-14,5.2340456187099815e-27
129729.7297297297,1.5051429539519405,-5.138078315432886e-14,5.231748861571784e-27
129729.7297297297,1.505142947282135,-5.1380782475361544e-14,5.252974088484259e-27
129729.7297297297,1.505142940606485,-5.138078179381929e-14,5.2548707023456494e-27
129729.7297297297,1.5051429339531972,-5.138078111204695e-14,5.2681210988435514e-27
129729.7297297297,1.505142927278264,-5.1380780428667145e-14,5.268105418059314e-27
129729.7297297297,1.5051429206166376,-5.138077974528924e-14,5.257363906243154e-27
129729.7297297297,1.5051429139449914,-5.1380779063214444e-14,5.262908142090417e-27
129729.7297297297,1.5051429072860023,-5.138077838046705e-14,5.2640023217592906e-27
129729.7297297297,1.5051429006187458,-5.138077769758691e-14,5.2696590807468426e-27
129729.7297297297,1.5051428939812221,-5.138077701402053e-14,5.2707039167209674e-27
129729.7297297297,1.5051428872937838,-5.138077633032739e-14,5.263844509123325e-27
129729.72972973017,1.5051428806358824,-5.138077564746641e-14,5.261821602151288e-27
129729.7297297297,1.50514287394931,-5.138077496485083e-14,5.2630322216194584e-27
129729.7297297297,1.5051428672854457,-5.138077428208839e-14,5.24955962538207e-27
129729.7297297297,1.505142860618464,-5.1380773600960376e-14,5.246402857638887e-27
129729.7297297297,1.5051428539564722,-5.1380772920215325e-14,5.2406176589170874e-27
129729.7297297297,1.5051428473003756,-5.13807722401721e-14,5.2378382235301535e-27
129729.7297297297,1.5051428406249883,-5.138077156046607e-14,5.2460874010884615e-27
129729.7297297297,1.5051428339503508,-5.138077087975929e-14,5.252586809180316e-27
129729.7297297297,1.5051428272931229,-5.138077019826404e-14,5.260085113390357e-27
129729.7297297297,1.5051428206280688,-5.138076951585913e-14,5.257194733208184e-27
129729.7297297297,1.5051428139761847,-5.1380768833804865e-14,5.257436644308482e-27
129729.7297297297,1.5051428072860833,-5.1380768151721257e-14,5.249332047974902e-27
129729.7297297297,1.5051428006328706,-5.138076747062086e-14,5.264892621192024e-27
129729.7297297297,1.5051427939589284,-5.1380766787632736e-14,5.271300621646216e-27
129729.7297297297,1.5051427873004666,-5.1380766103867225e-14,5.2814077460798845e-27
129729.7297297297,1.5051427806280537,-5.138076541887557e-14,5.287494723241744e-27
129729.7297297297,1.5051427739549745,-5.138076473314548e-14,5.279534959883059e-27
129729.7297297297,1.5051427673149917,-5.138076404838103e-14,5.2544795916497475e-27
129729.7297297297,1.5051427606510668,-5.138076336665616e-14,5.262464042451538e-27
129729.7297297297,1.5051427539763595,-5.138076268396266e-14,5.273147395944783e-27
129729.7297297297,1.5051427472987584,-5.1380761999973115e-14,5.280416319301284e-27
129729.7297297297,1.5051427406501308,-5.138076131510174e-14,5.2810729120575805e-27
129729.7297297297,1.5051427339717356,-5.138076063015072e-14,5.260606079674768e-27
129729.7297297297,1.5051427273219171,-5.1380759947682625e-14,5.241861581935657e-27
129729.72972973064,1.505142720654235,-5.1380759267488515e-14,5.253415842512879e-27
129729.7297297297,1.5051427139607298,-5.1380758585892706e-14,5.247103353732971e-27
129729.7297297297,1.5051427073158794,-5.13807579050627e-14,5.258595657913544e-27
129729.7297297297,1.5051427006645635,-5.13807572228385e-14,5.26687242190846e-27
129729.7297297297,1.5051426939908223,-5.138075653961021e-14,5.281318811965751e-27
129729.7297297297,1.50514268733469,-5.138075585462936e-14,5.2777566430895365e-27
129729.7297297297,1.5051426806598018,-5.138075517008066e-14,5.2564261078710015e-27
129729.7297297297,1.5051426740002865,-5.1380754488119664e-14,5.260458653418418e-27
129729.7297297297,1.5051426673228525,-5.138075380566946e-14,5.262657118131804e-27
129729.7297297297,1.5051426606696374,-5.1380753122952556e-14,5.275672206959005e-27
129729.7297297297,1.5051426540028192,-5.138075243865673e-14,5.265467500666729e-27
129729.7297297297,1.5051426473258338,-5.1380751755598883e-14,5.276088426286254e-27
129729.7297297297,1.505142640658453,-5.138075107125256e-14,5.261223339870369e-27
129729.7297297297,1.5051426339838962,-5.13807503887096e-14,5.259781935945186e-27
129729.7297297297,1.505142627333736,-5.13807497063415e-14,5.265779245840773e-27
129729.7297297297,1.5051426206656866,-5.138074902324584e-14,5.278001466102904e-27
129729.7297297297,1.505142614018645,-5.138074833866744e-14,5.265782012714051e-27
129729.72972973064,1.5051426073378644,-5.138074765557145e-14,5.266645120487385e-27
129729.72972972877,1.5051426006718922,-5.138074697237075e-14,5.2617806615646226e-27
129729.72972973064,1.505142594006795,-5.138074628976018e-14,5.277464687617385e-27
129729.72972972877,1.5051425873477302,-5.1380745605246906e-14,5.272143295873679e-27
129729.72972973064,1.5051425806785481,-5.1380744921379197e-14,5.27227517074802e-27
129729.72972972877,1.5051425740177113,-5.138074423749549e-14,5.269703070981795e-27
129729.72972973064,1.505142567352337,-5.138074355392382e-14,5.2716892958096666e-27
129729.72972972877,1.5051425606826925,-5.138074287011119e-14,5.2751597042315166e-27
129729.72972973064,1.5051425540065744,-5.138074218587755e-14,5.289334214863582e-27
129729.72972972877,1.5051425473332767,-5.138074149992433e-14,5.284799660834451e-27
129729.72972973064,1.505142540697008,-5.138074081452123e-14,5.286124187453665e-27
129729.72972972877,1.505142534017791,-5.138074012895744e-14,5.2776863294725e-27
129729.72972973064,1.5051425273552452,-5.1380739444417284e-14,5.2943883936600495e-27
129729.72972972877,1.505142520684134,-5.1380738757850926e-14,5.295632402231056e-27
129729.72972973064,1.505142514022315,-5.138073807113365e-14,5.286153022993632e-27
129729.72972972877,1.5051425073522136,-5.138073738556637e-14,5.2917863977296154e-27
129729.72972973064,1.50514250067995,-5.1380736699315674e-14,5.298094592500113e-27
129729.72972972877,1.5051424940281182,-5.13807360122997e-14,5.2926787589116566e-27
129729.72972973064,1.5051424873584927,-5.138073532594075e-14,5.2743512698973404e-27
129729.72972972877,1.50514248068489,-5.13807346418052e-14,5.2723328382194534e-27
129729.72972973064,1.5051424740094796,-5.1380733957914515e-14,5.269767390933292e-27
129729.72972972877,1.5051424673646394,-5.1380733274335056e-14,5.2776091611376695e-27
129729.72972973064,1.5051424607001007,-5.1380732589804274e-14,5.27558855287497e-27
129729.72972972877,1.5051424540303628,-5.1380731905518627e-14,5.295050840460141e-27
129729.72972973064,1.505142447360575,-5.138073121887192e-14,5.284148699096613e-27
129729.72972972877,1.5051424406867253,-5.13807305335478e-14,5.2881691590962236e-27
129729.72972973064,1.5051424340265918,-5.138072984773594e-14,5.29462091529529e-27
129729.72972972877,1.5051424273860983,-5.138072916114139e-14,5.271436018130041e-27
129729.72972973064,1.5051424207005881,-5.138072847735951e-14,5.260834599039867e-27
129729.72972972877,1.5051424140252456,-5.1380727794863745e-14,5.281301424063886e-27
129729.72972973064,1.5051424073753246,-5.138072710988505e-14,5.276875465836272e-27
129729.72972973064,1.5051424007182892,-5.138072642544329e-14,5.277870836618849e-27
129729.72972972877,1.5051423940285653,-5.1380725740880776e-14,5.26672977754653e-27
129729.72972973064,1.5051423873662266,-5.138072505766984e-14,5.2615580514279975e-27
129729.72972972877,1.5051423807131334,-5.1380724375086315e-14,5.2562667529084076e-27
129729.72972973064,1.5051423740225964,-5.13807236931447e-14,5.243429459814001e-27
129729.72972972877,1.5051423673642528,-5.1380723012760444e-14,5.2493687542758945e-27
129729.72972973064,1.5051423607003453,-5.138072233165566e-14,5.266463673175261e-27
129729.72972972877,1.5051423540375597,-5.138072164847701e-14,5.278789652403163e-27
129729.72972973064,1.5051423473641343,-5.1380720963803036e-14,5.272296613131832e-27
129729.72972972877,1.505142340710755,-5.1380720279916766e-14,5.277469169547845e-27
129729.72972973064,1.5051423340534098,-5.138071959540299e-14,5.269412842467667e-27
129729.72972972877,1.5051423273697289,-5.138071891186657e-14,5.283274166331701e-27
129729.72972973064,1.505142320711216,-5.138071822664856e-14,5.291569593933456e-27
129729.72972972877,1.5051423140671245,-5.13807175404242e-14,5.273642245121207e-27
129729.72972973064,1.505142307354186,-5.138071685637469e-14,5.277198217693459e-27
129729.72972972877,1.5051423007197464,-5.138071617189379e-14,5.289891804465958e-27
129729.72972973064,1.5051422940547134,-5.138071548587297e-14,5.269969154004797e-27
129729.72972972877,1.5051422873696712,-5.138071480226906e-14,5.264872131686818e-27
129729.72972973064,1.5051422807271069,-5.13807141192835e-14,5.268467117458901e-27
129729.72972972877,1.5051422740626383,-5.1380713435861814e-14,5.2641475770596786e-27
129729.72972973064,1.505142267362417,-5.138071275296416e-14,5.2657356367883386e-27
129729.72972972877,1.5051422607120588,-5.138071206987384e-14,5.2801949764689516e-27
129729.72972973064,1.5051422540515942,-5.13807113850294e-14,5.26776805676399e-27
129729.72972972877,1.5051422473809153,-5.138071070169252e-14,5.275541440955884e-27
129729.72972973064,1.505142240740707,-5.1380710017412624e-14,5.2758541462698935e-27
129729.72972972877,1.5051422340582252,-5.138070933309479e-14,5.2721480127025734e-27
129729.72972973064,1.5051422273983859,-5.1380708649226564e-14,5.267878204423434e-27
129729.72972972877,1.5051422207485217,-5.138070796587633e-14,5.259676867849824e-27
129729.72972973064,1.5051422140660227,-5.138070728352104e-14,5.285529076158455e-27
129729.72972972877,1.505142207405911,-5.13807065980295e-14,5.260793031892232e-27
129729.72972973064,1.5051422007317656,-5.1380705915538806e-14,5.276796323438801e-27
129729.72972972877,1.5051421940852185,-5.1380705231106676e-14,5.2678271068157306e-27
129729.72972973064,1.50514218740415,-5.138070454776265e-14,5.278705852295812e-27
129729.72972973064,1.5051421807600691,-5.138070386309887e-14,5.263917361305458e-27
129729.72972973064,1.5051421740740287,-5.138070318022915e-14,5.25325384410827e-27
129729.72972972691,1.5051421673866423,-5.1380702498653074e-14,5.2374148568951e-27
129729.72972973064,1.505142160734499,-5.138070181899851e-14,5.235356131906945e-27
129729.72972973064,1.505142154077351,-5.1380701139593694e-14,5.231426029832644e-27
129729.72972973064,1.5051421474109705,-5.138070046066566e-14,5.239416404013114e-27
129729.72972972691,1.5051421407505596,-5.1380699780768276e-14,5.249552547205843e-27
129729.72972973064,1.5051421340865105,-5.138069909964123e-14,5.258301860191513e-27
129729.72972973064,1.5051421273940926,-5.1380698417452763e-14,5.275372541967466e-27
129729.72972973064,1.5051421207547564,-5.138069773319337e-14,5.277442957419866e-27
129729.72972972691,1.5051421140966883,-5.138069704868281e-14,5.285189748666396e-27
129729.72972973064,1.5051421074227886,-5.138069636323245e-14,5.279589516296464e-27
129729.72972973064,1.5051421007486205,-5.138069567846148e-14,5.2880257605929326e-27
129729.72972973064,1.505142094078276,-5.138069499266707e-14,5.272042393030009e-27
129729.72972972691,1.5051420874225743,-5.138069430881168e-14,5.2519516897806536e-27
129729.72972973064,1.5051420807682168,-5.138069362739359e-14,5.257017413099269e-27
129729.72972973064,1.505142074073279,-5.1380692945360956e-14,5.267554861788116e-27
129729.72972973064,1.5051420674104579,-5.1380692262049974e-14,5.2646412483980705e-27
129729.72972972691,1.5051420607566297,-5.138069157909246e-14,5.2600655017694936e-27
129729.72972973064,1.5051420540883378,-5.138069089669005e-14,5.262152115874378e-27
129729.72972973064,1.5051420474257344,-5.1380690214034504e-14,5.265069141989554e-27
129729.72972973064,1.5051420407615916,-5.138068953102508e-14,5.2725002481319375e-27
129729.72972972691,1.505142034094764,-5.1380688847114156e-14,5.261269543486354e-27
129729.72972973064,1.505142027426271,-5.138068816456568e-14,5.2617480270734976e-27
129729.72972973064,1.505142020764518,-5.138068748195916e-14,5.270116832105812e-27
129729.72972973064,1.5051420141016212,-5.138068679833738e-14,5.251404302924494e-27
129729.72972972691,1.5051420074302464,-5.1380686116985706e-14,5.255971762309561e-27
129729.72972973064,1.505142000769211,-5.138068543507993e-14,5.2578345577046096e-27
129729.72972973064,1.505141994101709,-5.138068475294818e-14,5.258017174259614e-27
129729.72972973064,1.5051419874374798,-5.138068407079427e-14,5.2655642369277846e-27
129729.72972972691,1.5051419807734225,-5.1380683387724795e-14,5.2612744338471535e-27
129729.72972973064,1.505141974115805,-5.1380682705175733e-14,5.2758104652853036e-27
129729.72972973064,1.5051419674457307,-5.138068202086324e-14,5.283869596450629e-27
129729.72972973064,1.505141960765356,-5.138068133557305e-14,5.276997223287021e-27
129729.72972973064,1.5051419541193047,-5.1380680651116585e-14,5.2696204927661055e-27
129729.72972972691,1.5051419474268315,-5.138067996755503e-14,5.282182950172745e-27
129729.72972973064,1.505141940792014,-5.138067928246946e-14,5.2674611885126406e-27
129729.72972973064,1.5051419341097731,-5.138067859916986e-14,5.2568633328949876e-27
129729.72972973064,1.505141927450124,-5.138067791715594e-14,5.260172001285864e-27
129729.72972972691,1.5051419207834715,-5.138067723474063e-14,5.267053480603581e-27
129729.72972973064,1.5051419140966436,-5.138067655149049e-14,5.2876300562284816e-27
129729.72972973064,1.50514190743031,-5.138067586574411e-14,5.293401437437916e-27
129729.72972973064,1.5051419007789677,-5.138067517929758e-14,5.291470831637639e-27
129729.72972972691,1.505141894104186,-5.138067449308526e-14,5.293215944178727e-27
129729.72972973064,1.5051418874573672,-5.138067380666123e-14,5.285315701575355e-27
129729.72972973064,1.505141880782313,-5.1380673121195626e-14,5.261308188716576e-27
129729.72972973064,1.5051418741224105,-5.138067243864249e-14,5.255849912971054e-27
129729.72972972691,1.5051418674566346,-5.138067175675152e-14,5.2598948734565365e-27
129729.72972973064,1.5051418607932674,-5.1380671074369834e-14,5.2715662132216725e-27
129729.72972973064,1.505141854133206,-5.1380670390572245e-14,5.273674759993589e-27
129729.72972973064,1.505141847442162,-5.138066970651886e-14,5.2698924704172064e-27
129729.72972972691,1.5051418407895207,-5.1380669022924327e-14,5.282371379003238e-27
129729.72972973064,1.5051418341138747,-5.1380668337815916e-14,5.282751880021115e-27
129729.72972973064,1.5051418274590747,-5.138066765266135e-14,5.2865248964106126e-27
129729.72972973064,1.5051418207846219,-5.1380666967049057e-14,5.294957931307369e-27
129729.72972972691,1.5051418141323245,-5.1380666280413714e-14,5.280411025565018e-27
129729.72972973064,1.5051418074619367,-5.138066559554313e-14,5.279382830672054e-27
129729.72972973064,1.5051418008198196,-5.138066491079728e-14,5.2860615614406464e-27
129729.72972973064,1.5051417941339715,-5.13806642252412e-14,5.280702286126274e-27
129729.72972972691,1.5051417874771524,-5.138066354033528e-14,5.2720981663119955e-27
129729.72972973064,1.5051417808068377,-5.138066285647317e-14,5.273454832247156e-27
129729.72972973064,1.5051417741444832,-5.1380662172446476e-14,5.259541518453929e-27
129729.72972973064,1.5051417674630128,-5.1380661490107674e-14,5.262653923106711e-27
129729.72972973064,1.5051417607935336,-5.138066080739129e-14,5.287047056385679e-27
129729.72972972691,1.5051417541471972,-5.1380660121715664e-14,5.2729418591070825e-27
129729.72972973064,1.5051417474607396,-5.138065943775121e-14,5.2713762831447124e-27
129729.72972973064,1.5051417408141097,-5.138065875397668e-14,5.2706545559002074e-27
129729.72972973064,1.5051417341405384,-5.138065807028971e-14,5.2625403483348235e-27
129729.72972972691,1.505141727483658,-5.1380657387587115e-14,5.275621723808682e-27
129729.72972973064,1.5051417208030669,-5.1380656703297555e-14,5.2629781544538845e-27
129729.72972973064,1.5051417141313883,-5.138065602054185e-14,5.256154414720276e-27
129729.72972973064,1.5051417074762186,-5.138065533861396e-14,5.2468611683790104e-27
129729.72972972691,1.505141700819414,-5.138065465781349e-14,5.245631438519641e-27
129729.72972973064,1.5051416941418194,-5.13806539771622e-14,5.240029814943302e-27
129729.72972973064,1.5051416874618728,-5.138065329719047e-14,5.2481789934078e-27
129729.72972973064,1.505141680805416,-5.1380652616230126e-14,5.2448290948597226e-27
129729.72972972691,1.5051416741498416,-5.1380651935676175e-14,5.226977375137368e-27
129729.72972973064,1.505141667475344,-5.13806512572879e-14,5.2350781039900826e-27
129729.72972973064,1.5051416608257124,-5.138065057791689e-14,5.2469561051541196e-27
129729.72972973064,1.5051416541665639,-5.1380649897104903e-14,5.2606701001906775e-27
129729.72972972691,1.5051416474891048,-5.1380649214629206e-14,5.265853291651662e-27
129729.72972973064,1.505141640813992,-5.138064853152471e-14,5.2640087922247555e-27
129729.72972973064,1.5051416341663126,-5.1380647848643986e-14,5.267071895457801e-27
129729.72972973064,1.5051416274838625,-5.138064716539166e-14,5.2664115878181315e-27
129729.72972972691,1.5051416208353239,-5.138064648221944e-14,5.253784042131687e-27
129729.72972973064,1.5051416141666112,-5.1380645800579126e-14,5.249470090966693e-27
129729.72972973064,1.5051416075016082,-5.138064511946216e-14,5.257446067291738e-27
129729.72972973064,1.5051416008163077,-5.1380644437377595e-14,5.270785693037551e-27
129729.72972972691,1.505141594144299,-5.138064375367473e-14,5.276971740418772e-27
129729.72972973064,1.5051415874961398,-5.1380643069221417e-14,5.283220907454922e-27
129729.72972973064,1.5051415808258364,-5.138064238400998e-14,5.287255837587612e-27
129729.72972973064,1.5051415741453567,-5.1380641698309054e-14,5.257425879815109e-27
129729.72972972691,1.5051415674988047,-5.138064101622694e-14,5.255856702543321e-27
129729.72972973064,1.5051415608590792,-5.1380640334335196e-14,5.245518972838974e-27
129729.72972973064,1.5051415541827244,-5.138063965369757e-14,5.254118867677587e-27
129729.72972973064,1.5051415475123084,-5.138063897201665e-14,5.258359715071681e-27
129729.72972973064,1.5051415408315296,-5.138063828982126e-14,5.247535571889029e-27
129729.72972972691,1.5051415341650278,-5.138063760893899e-14,5.227711693280958e-27
129729.72972973064,1.5051415275209385,-5.1380636930461656e-14,5.226949591907221e-27
129729.72972973064,1.5051415208476588,-5.1380636252076776e-14,5.25171191038378e-27
129729.72972973064,1.5051415141724862,-5.138063557068786e-14,5.251621844878435e-27
129729.72972972691,1.5051415075074535,-5.138063488930987e-14,5.2529458400939784e-27
129729.72972973064,1.5051415008519788,-5.138063420777126e-14,5.256728043864333e-27
129729.72972973064,1.5051414941922312,-5.1380633525773816e-14,5.256254993670113e-27
129729.72972973064,1.505141487514593,-5.138063284383376e-14,5.2651014613467085e-27
129729.72972972691,1.5051414808234336,-5.13806321608205e-14,5.266570551446185e-27
129729.72972973064,1.5051414741827125,-5.1380631477629016e-14,5.273543363837576e-27
129729.72972973064,1.5051414675050405,-5.1380630793591626e-14,5.261567886011141e-27
129729.72972973064,1.5051414608549776,-5.138063011100704e-14,5.2625253796006964e-27
129729.72972972691,1.5051414541783112,-5.1380629428306296e-14,5.265475041386792e-27
129729.72972973064,1.505141447532954,-5.138062874524772e-14,5.267032217944377e-27
129729.72972973064,1.5051414408529478,-5.138062806200023e-14,5.263494449479061e-27
129729.72972973064,1.5051414341833644,-5.138062737918193e-14,5.257952821136635e-27
129729.72972972691,1.5051414275297106,-5.138062669703591e-14,5.254362739996412e-27
129729.72972973064,1.505141420858092,-5.138062601532542e-14,5.262944245589231e-27
129729.72972973064,1.5051414141759518,-5.138062533257387e-14,5.260221207732484e-27
129729.72972973064,1.5051414075368879,-5.1380624650152664e-14,5.2409728332310526e-27
129729.72972972691,1.5051414008669437,-5.138062397006657e-14,5.243000540434436e-27
129729.72972973064,1.5051413941899234,-5.138062328973449e-14,5.2298888828600704e-27
129729.72972973064,1.5051413875211694,-5.1380622610993054e-14,5.239430581848683e-27
129729.72972973064,1.5051413808417657,-5.1380621931094066e-14,5.250388576039243e-27
